Position	Time	Type
1787	3000	13	8.935
1946	3315	1	0.795
2100	3592	1	0.770
2268	3895	1	0.840
2439	4203	1	0.855
2603	4492	1	0.820
2769	4788	1	0.830
2933	5083	1	0.820
3092	5378	1	0.795
3252	5666	1	0.800
3410	5950	1	0.790
3575	6247	1	0.825
3748	6559	1	0.865
3913	6856	1	0.825
4070	7138	1	0.785
4229	7425	1	0.795
4383	7702	1	0.770
4540	7984	1	0.785
4703	8278	1	0.815
4866	8571	1	0.815
5032	8861	1	0.830
5201	9165	1	0.845
5362	9455	1	0.805
5517	9734	1	0.775
5676	10020	1	0.795
5835	10306	1	0.795
6006	10614	1	0.855
6175	10918	1	0.845
6340	11215	1	0.825
6500	11503	1	0.800
6667	11804	1	0.835
6825	12088	1	0.790
6983	12373	1	0.790
7147	12668	1	0.820
7316	12972	1	0.845
7492	13291	1	0.880
7657	13588	1	0.825
7812	13867	1	0.775
7973	14157	1	0.805
8135	14448	1	0.810
8295	14736	1	0.800
8462	15037	1	0.835
8628	15336	1	0.830
8793	15633	1	0.825
8955	15924	1	0.810
9113	16209	1	0.790
9269	16489	1	0.780
9431	16781	1	0.810
9599	17083	1	0.840
9766	17384	1	0.835
9932	17685	1	0.830
10092	17973	1	0.800
10248	18253	1	0.780
10407	18538	1	0.795
10564	18819	1	0.785
10722	19103	1	0.790
10893	19411	1	0.855
11063	19717	1	0.850
11227	20012	1	0.820
11384	20295	1	0.785
11541	20577	1	0.785
11698	20860	1	0.785
11862	21155	1	0.820
12024	21447	1	0.810
12194	21753	1	0.850
12361	22053	1	0.835
12523	22345	1	0.810
12679	22626	1	0.780
12834	22905	1	0.775
12991	23187	1	0.785
13152	23479	1	0.805
13320	23781	1	0.840
13485	24078	1	0.825
13647	24370	1	0.810
13803	24651	1	0.780
13963	24939	1	0.800
14121	25223	1	0.790
14281	25511	1	0.800
14445	25806	1	0.820
14616	26114	1	0.855
14781	26411	1	0.825
14939	26695	1	0.790
15096	26978	1	0.785
15254	27262	1	0.790
15420	27561	1	0.830
15586	27860	1	0.830
15751	28157	1	0.825
15917	28456	1	0.830
16081	28751	1	0.820
16241	29039	1	0.800
16397	29320	1	0.780
16556	29606	1	0.795
16719	29899	1	0.815
16890	30207	1	0.855
17059	30511	1	0.845
17222	30805	1	0.815
17380	31089	1	0.790
17538	31374	1	0.790
17697	31660	1	0.795
17860	31953	1	0.815
18025	32250	1	0.825
18194	32554	1	0.845
18365	32862	1	0.855
18526	33152	1	0.805
18679	33427	1	0.765
18840	33719	1	0.805
19000	34007	1	0.800
19163	34299	1	0.815
19331	34601	1	0.840
19494	34894	1	0.815
19660	35193	1	0.830
19820	35481	1	0.800
19976	35762	1	0.780
20131	36041	1	0.775
20294	36334	1	0.815
20458	36630	1	0.820
20631	36941	1	0.865
20797	37240	1	0.830
20955	37524	1	0.790
21112	37807	1	0.785
21273	38097	1	0.805
21431	38381	1	0.790
21595	38676	1	0.820
21761	38975	1	0.830
21929	39277	1	0.840
22093	39573	1	0.820
22247	39850	1	0.770
22398	40122	1	0.755
22556	40406	1	0.790
22721	40703	1	0.825
22883	40995	1	0.810
23051	41297	1	0.840
23215	41592	1	0.820
23372	41882	1	0.785
23521	42143	1	0.745
23687	42444	1	0.830
23843	42724	1	0.780
24009	43023	1	0.830
24182	43335	1	0.865
24346	43628	1	0.820
24507	43920	1	0.805
24662	44199	1	0.775
24820	44483	1	0.790
24979	44769	1	0.795
25139	45057	1	0.800
25302	45349	1	0.815
25471	45653	1	0.845
25636	45952	1	0.825
25791	46236	1	0.775
25944	46512	1	0.765
26100	46792	1	0.780
26254	47070	1	0.770
26419	47367	1	0.825
26585	47660	1	0.830
26744	47952	1	0.795
26901	48234	1	0.785
27059	48519	1	0.790
27214	48798	1	0.775
27367	49066	1	0.765
27524	49348	1	0.785
27688	49644	1	0.820
27857	49948	1	0.845
28019	50239	1	0.810
28173	50517	1	0.770
28328	50796	1	0.775
28486	51080	1	0.790
28644	51364	1	0.790
28803	51651	1	0.795
28967	51946	1	0.820
29131	52241	1	0.820
29292	52531	1	0.805
29447	52810	1	0.775
29601	53087	1	0.770
29756	53366	1	0.775
29917	53656	1	0.805
30079	53947	1	0.810
30244	54244	1	0.825
30404	54534	1	0.800
30558	54811	1	0.770
30713	55090	1	0.775
30868	55375	1	0.775
31026	55652	1	0.790
31182	55933	1	0.780
31349	56233	1	0.835
31512	56527	1	0.815
31670	56813	1	0.790
31820	57081	1	0.750
31974	57358	1	0.770
32131	57641	1	0.785
32290	57927	1	0.795
32451	58224	1	0.805
32617	58523	1	0.830
32782	58820	1	0.825
32943	59104	1	0.805
33097	59380	1	0.770
33251	59657	1	0.770
33411	59945	1	0.800
33575	60240	1	0.820
33742	60548	1	0.835
33910	60850	1	0.840
34070	61131	1	0.800
34229	61417	1	0.795
34389	61705	1	0.800
34547	61990	1	0.790
34704	62272	1	0.785
34871	62573	1	0.835
35040	62877	1	0.845
35208	63180	1	0.840
35366	63466	1	0.790
35517	63736	1	0.755
35677	64024	1	0.800
35838	64314	1	0.805
36001	64607	1	0.815
36164	64900	1	0.815
36330	65199	1	0.830
36491	65489	1	0.805
36650	65775	1	0.795
36806	66056	1	0.780
36959	66331	1	0.765
37125	66630	1	0.830
37229	66817	1	0.520
37417	67156	1	0.940
37586	67460	1	0.845
37749	67753	1	0.815
37904	68032	1	0.775
38068	68328	1	0.820
38230	68619	1	0.810
38392	68911	1	0.810
38561	69217	1	0.845
38736	69532	1	0.875
38897	69820	1	0.805
39052	70099	1	0.775
39209	70381	1	0.785
39368	70668	1	0.795
39534	70966	1	0.830
39700	71265	1	0.830
39866	71564	1	0.830
40036	71870	1	0.850
40199	72163	1	0.815
40354	72442	1	0.775
40513	72729	1	0.795
40677	73024	1	0.820
40845	73326	1	0.840
41017	73636	1	0.860
41184	73936	1	0.835
41342	74221	1	0.790
41502	74509	1	0.800
41659	74791	1	0.785
41781	75011	1	0.610
41974	75358	1	0.965
42140	75657	1	0.830
42308	75967	1	0.840
42474	76266	1	0.830
42631	76548	1	0.785
42781	76818	1	0.750
42941	77106	1	0.800
43104	77400	1	0.815
43269	77697	1	0.825
43430	77979	1	0.805
43595	78283	1	0.825
43755	78564	1	0.800
43914	78850	1	0.795
44066	79124	1	0.760
44226	79412	1	0.800
44394	79714	1	0.840
44562	80017	1	0.840
44728	80316	1	0.830
44891	80609	1	0.815
45049	80893	1	0.790
45207	81178	1	0.790
45366	81464	1	0.795
45528	81763	1	0.810
45695	82063	1	0.835
45864	82368	1	0.845
46031	82668	1	0.835
46193	82960	1	0.810
46350	83242	1	0.785
46507	83525	1	0.785
46675	83824	1	0.840
46846	84128	1	0.855
47015	84432	1	0.845
47183	84735	1	0.840
47350	85035	1	0.835
47512	85327	1	0.810
47667	85606	1	0.775
47828	85899	1	0.805
47995	86200	1	0.835
48166	86508	1	0.855
48333	86805	1	0.835
48500	87105	1	0.835
48658	87390	1	0.790
48818	87678	1	0.800
48978	87966	1	0.800
49140	88257	1	0.810
49306	88558	1	0.830
49474	88860	1	0.840
49642	89163	1	0.840
49801	89449	1	0.795
49957	89735	1	0.780
50115	90014	1	0.790
50281	90313	1	0.830
50450	90617	1	0.845
50614	90912	1	0.820
50783	91216	1	0.845
50945	91508	1	0.810
51101	91789	1	0.780
51259	92073	1	0.790
51421	92365	1	0.810
51585	92658	1	0.820
51758	92970	1	0.865
51926	93272	1	0.840
52086	93560	1	0.800
52246	93855	1	0.800
52402	94136	1	0.780
52564	94420	1	0.810
52729	94719	1	0.825
52898	95022	1	0.845
53066	95324	1	0.840
53237	95632	1	0.855
53396	95918	1	0.795
53550	96197	1	0.770
53706	96478	1	0.780
53870	96773	1	0.820
54038	97075	1	0.840
54205	97376	1	0.835
54369	97671	1	0.820
54532	97965	1	0.815
54693	98253	1	0.805
54849	98535	1	0.780
55005	98814	1	0.780
55169	99109	1	0.820
55334	99406	1	0.825
55445	99606	1	0.555
55639	99955	1	0.970
55799	100243	1	0.800
55953	100521	1	0.770
56111	100805	1	0.790
56272	101095	1	0.805
56434	101386	1	0.810
56596	101678	1	0.810
56756	101966	1	0.800
56919	102259	1	0.815
57076	102542	1	0.785
57229	102817	1	0.765
57385	103100	1	0.780
57550	103397	1	0.825
57716	103694	1	0.830
57880	103989	1	0.820
58045	104286	1	0.825
58203	104571	1	0.790
58361	104855	1	0.790
58521	105143	1	0.800
58681	105431	1	0.800
58848	105732	1	0.835
59020	106041	1	0.860
59186	106340	1	0.830
59345	106626	1	0.795
59501	106907	1	0.780
59655	107184	1	0.770
59819	107479	1	0.820
59984	107776	1	0.825
60147	108070	1	0.815
60312	108367	1	0.825
60480	108669	1	0.840
60636	108950	1	0.780
60788	109224	1	0.760
60947	109510	1	0.795
61107	109801	1	0.800
61276	110109	1	0.845
61441	110406	1	0.825
61607	110705	1	0.830
61768	110995	1	0.805
61924	111276	1	0.780
62080	111556	1	0.780
62239	111843	1	0.795
62404	112134	1	0.825
62569	112435	1	0.825
62739	112741	1	0.850
62900	113029	1	0.805
63056	113310	1	0.780
63212	113590	1	0.780
63372	113878	1	0.800
63535	114172	1	0.815
63693	114453	1	0.790
63853	114741	1	0.800
64011	115032	1	0.790
64167	115313	1	0.780
64315	115579	1	0.740
64464	115848	1	0.745
64613	116116	1	0.745
64772	116402	1	0.795
64930	116686	1	0.790
65088	116971	1	0.790
65241	117239	1	0.765
65396	117518	1	0.775
65548	117792	1	0.760
65702	118069	1	0.770
65857	118355	1	0.775
66015	118639	1	0.790
66184	118936	1	0.845
66353	119241	1	0.845
66516	119534	1	0.815
66673	119817	1	0.785
66831	120101	1	0.790
66997	120400	1	0.830
67164	120700	1	0.835
67339	121015	1	0.875
67511	121325	1	0.860
67681	121631	1	0.850
67838	121914	1	0.785
67994	122194	1	0.780
68156	122486	1	0.810
68317	122776	1	0.805
68483	123078	1	0.830
68655	123384	1	0.860
68824	123688	1	0.845
68976	123962	1	0.760
69134	124246	1	0.790
69293	124536	1	0.795
69442	124804	1	0.745
69600	125085	1	0.790
69764	125380	1	0.820
69927	125674	1	0.815
70081	125951	1	0.770
70235	126232	1	0.770
70387	126505	1	0.760
70537	126772	1	0.750
70692	127051	1	0.775
